num,T,L,B,R,time
Question 1,H,O,C,N,2000
Result 1,H,C,C,N,31976
Question 2,N,N,O,C,4000
Result 2,N,C,O,C,14356
Question 3,H,C,C,N,1000
Result 3,H,C,N,C,10201
Question 4,C,N,H,O,2000
Result 4,H,O,N,C,20164
Question 5,N,N,H,N,4000
Result 5,N,N,H,N,13916
Question 6,C,O,O,N,1000
Result 6,N,,,C,22200
Question 7,O,H,N,C,2000
Result 7,O,H,O,C,10161
Question 8,H,O,H,N,4000
Result 8,H,O,H,N,13200
Question 9,O,C,C,O,1000
Result 9,C,O,C,O,10401
Question 10,N,H,N,C,2000
Result 10,N,H,N,C,8720
Question 11,N,N,O,H,4000
Result 11,O,O,N,H,13761
Question 12,N,C,O,O,1000
Result 12,O,O,N,O,10439
Question 13,N,H,N,N,2000
Result 13,N,H,N,N,9762
Question 14,N,C,O,H,4000
Result 14,N,O,N,H,14360
Question 15,C,C,H,O,1000
Result 15,C,C,H,C,10681
Question 16,H,H,O,O,2000
Result 16,H,O,O,O,10399
Question 17,O,O,N,C,4000
Result 17,O,O,N,C,11480
Question 18,O,N,N,C,1000
Result 18,O,O,O,N,11561
Question 19,H,H,C,H,2000
Result 19,H,H,C,H,17040
Question 20,N,N,C,H,4000
Result 20,N,N,C,H,11599
Question 21,C,O,H,C,1000
Result 21,,,,,216378
Question 22,N,N,N,O,2000
Result 22,,,,,6880
Question 23,H,O,N,C,4000
Result 23,,,,,57441
Question 24,N,H,O,O,1000
Result 24,,,,,4281
Question 25,O,H,N,H,2000
Result 25,,,,,10040
Question 26,O,O,C,C,4000
Result 26,,,,,6720
Question 27,O,O,C,C,1000
Result 27,,,,,3200
Question 28,C,N,C,C,2000
Result 28,,,,,5160
Question 29,O,O,N,O,4000
Result 29,,,,,6320
Question 30,C,N,O,H,1000
Result 30,,,,,3319
Question 31,N,H,N,H,2000
Result 31,,,,,
